정답,유사답안,문제,출제연도,문제소분류,문제대분류,비고,Status,담당자,마감일
보안 컨테이너(Security Container),,DRM에서 원본을 안전하게 유통하기 위한 전자적 보안장치는 무엇인가?,기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
클리어링 하우스(Clearing House),,저작권 관리를 위한 요소 중 소비자와 유통업자 사이에 발생하는 거래에 대해 디지털 저작권 라이선싱을 중개하고 라이선스 발급을 수행하는 정산소를 무엇이라고 하는가?,기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
공개키 기반구조(PKI),,인증기관에서 공개키 암호 방식 기반의 전자 서명된 인증서를 발급받아 네트워크상에서 안전하게 비밀통신을 가능하도록 하는 기술은 무엇인가?,기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
전자서명,,서명자를 확인하고 서명자가 해당 전자 문서에 서명했다는 사실을 나타내기 위해 특정 전자문서에 첨부되거나 논리적으로 결합된 전자적 형태의 정보,기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
DOI(Digital Object Identifier),,디지털 저작물의 저작권 보호 및 정확한 위치 추적을 위해 특정한 번호를 부여하는 일종의 바코드 시스템을 무엇이라고 하는가?,기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
IPv6,,"( )는 인터넷 프로트콜 스택 중 네트워크 계층의 프로토콜로서 현재 IPv4가 가지고 있는 주소 고갈, 보안성, 이동성 지원 등의 문제점을 해결하기 위해서 개발된 128비트 주소체계를 갖는 차세대 인터넷 프로토콜이다.",기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
듀얼 스택,,"( )은 IPv4에서 IPv6으로 전환 방법 중 하나로서 ( )은 IP계층의 두 가지(IPv4, IPv6)의 프로토콜이 모두 탑재되어 있고, 통신 상대방에 따라 해당 IP 스택을 선택하는 방법이다.",기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
터널링,,( )은 IPv4에서 IPv으로 전환 방법 중 하나로 IPv6 망에서 인접한 IPv4 망을 거쳐 다른 IPv6 망으로 통신할 때 IPv4에서 사용하는 프로토콜로 캡슐화하여 전송하는 방법이다.,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
멀티캐스트 프로토콜,,( )은 인터넷에서 같은 내용의 데이터를 여러 명의 특정한 그룹의 수신자들에게 동시에 전송할 수 있는 프로토콜이다.,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
유니캐스트 프로토콜,,( )은 고유 주소로 식별된 하나의 네트워크 목적지 1:1로 트래픽 또는 메시지를 전송하는 프로토콜이다.,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
애니캐스트 프로토콜,,( )은 단일 송신자로부터의 데이터그램을 토폴로지상의 잠재적인 수신자 그룹 안에서 가장 가까운 노드로 연결시키는 전송 프로토콜이다.,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
RIP,,"( )는 AS 내에서 사용하는 거리 벡터 알고리즘에 기초하여 개발된 내부 라우팅 프로토콜로 벨만-포드 알고리즘 사용, 15홉 제한 등의 특징을 가지고 있다.",기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
OSPF,,( )는 규모가 크고 복잡한 TCP/IP 네트워크에서 RIP의 단점을 개선하기 위해 자신의 기준으로 링크 상태 알고리즘을 적용하여 최단 경로를 찾는 라우팅 프로토콜로 다익스트라 알고리즘을 사용한다.,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
BGP,,( )는 AS 상호 간(Inter-AS 또는 Inter-Domain)에 경로 정보를 교환하기 위한 라우팅 프로토콜이다.,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
세션 계층,,"( )은 응용 프로그램 간의 대화를 유지하기 위한 구조를 제공하고, 이를 처리하기 위해 프로세스들의 논리적인 연결을 담당하는 계층이다.",기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
표현 계층,,"( )은 애플리케이션이 다루는 정보를 통신에 알맞은 형태로 만들거나, 하위 계층에서 온 데이터를 사용자가 이해할 수 있는 형태로 만드는 역할을 담당하는 계층이다.",기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
FTP,,( )는 응용 계층 프로토콜로서 TCP/IP 프로토콜을 가지고 서버와 클라이언트 사이의 파일을 전송하기 위한 프로토콜이다.,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
SMTP,,( )는 응용 계층 프로토콜로 인터넷에서 TCP 포트 번호 25번을 사용하여 이메일을 보내기 위해 이용되는 프로토콜이다.,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
제품 소프트웨어 메뉴얼,,"사용자 측면에서 패키징 이후 설치, 제품 소프트웨어를 사용하는데 필요한 주요 내용을 기록한 문서이다.",기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
차등 백업,,백업 유형 중 마지막 전체 백업 이후 변경된 모든 데이터를 백업하는 방식을 무엇이라고 하는가?,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
모듈화(Modulation),,"모듈을 이용하여 소프트웨어의 성능을 향상시키거나 시스템의 디버깅, 시험, 통합 및 수정을 용이하도록 하는 모듈 중심의 소프트웨어 설계 기법이다.",기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
DRM 컨트롤러,,DRM에서 배포된 콘텐츠의 이용 권한을 통제하는 요소는 무엇인가?,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
SSO(Single Sign On),,한 번의 시스템 인증을 통하여 여러 정보 시스템에 재인증 절차 없이 접근할 수 있는 통합 로그인 기술이다.,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
MPEG-21,,멀티미디어 관련 요소 기술들이 통일된 형태로 상호 운용성을 보장하는 멀티미디어 표준 규격,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
코드 난독화(Code Obfuscation),,역공학을 통한 공격을 막기 위해 프로그램의 소스 코드를 알아보기 힘든 형태로 바꾸는 기술을 무엇이라고 하는가?,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
제품 소프트웨어 배포본,,사용자가 사용하기 편하도록 배포 정보를 포함하여 개발된 컴포넌트 또는 패키지가 제품화된 형태는 무엇인가?,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
증분 백업,,정해진 시간을 기준으로 그 이후에 변경된 파일만을 백업하는 방식이다.,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
Secure DB,,"패키징 도구 구성 기술 중 크랙 방지 기술 중 하나로서, 커널 암호화 방식으로 데이터베이스 파일을 직접 암호화하고, 접근 제어와 감사 기록 기능이 추가된 데이터 베이스 보안 강화 기술은 무엇인지 쓰시오.",기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
XrML,,패키징 도구 구성 기술 중 저작권 표현 기술로 디지털 콘텐츠/웹 서비스 권리 조건을 표현한 XML 기반의 마크업 언어는 무엇인지 쓰시오.,기출 예상 문제,제품 소프트웨어 메뉴얼 작성 및 버전 등록,제품 소프트웨어 패키징,,시작 전,,
머리말,"헤더, Header","릴리즈 노트를 작성할 때 릴리즈
  노트 이름, 소프트웨어 이름, 릴리즈 버전, 릴리즈 날짜, 릴리즈 노트 날짜, 릴리즈 노트 버전 등이 들어가는 항목은 어느 부분인지
  작성하시오.",2020년 1회 실기,소프트웨어 개발 방법론,제품 소프트웨어 패키징,,시작 전,,
SDN,Software Defined Networking,"다음에서
  설명하는 IT 기술은?
    
    네트워크를 제어부, 데이터 전달부로 분리하여 네트워크 관리자가 보다 효율적으로 네트워크를 제어, 관리할 수 있는 기술
    
    기존의 라우터, 스위치 등과 같이 하드웨어에 의존하는 네트워크 체계에서 안정성, 속도, 보안 등을 소프트웨어로 제어, 관리하기 위해
  개발됨
    
    네트워크 장비의 펌웨어 업그레이드를 통해 사용자의 직접적인 데이터 전송 경로 관리가 가능하고, 기존 네트워크에는 영향을 주지 않으면서
  특정 서비스의 전송 경로 수정을 통하여 인터넷 상에서 발생하는 문제를 처리할 수 있음",2022년 2회 필기,IT 용어,소프트웨어 개발 보안 구축,,시작 전,,
RBAC,"Roll Based Access Control, 역할 기반 접근 통제","접근 통제 방법 중 조직 내에서 직무, 직책 등 개인의 역할에 따라
  결정하여 부여하는 접근 정책은?",2022년 2회 필기,IT 용어,소프트웨어 개발 보안 구축,,시작 전,,
Ping of Death,,"다음 설명에
  해당하는 공격기법은?
    
    시스템 공격 기법 중 하나로 허용범위 이상의 ICMP 패킷을 전송하여 대상 시스템의 네트워크를 마비시킨다.",2022년 2회 필기,네트워크 공격 유형,소프트웨어 개발 보안 구축,,시작 전,,
Worm,,"악성코드의 유형 중 다른 컴퓨터의 취약점을 이용하여 스스로 전파하거나
  메일로 전파되며 스스로를 증식하는 것은?",2022년 2회 필기,네트워크 공격 유형,소프트웨어 개발 보안 구축,,시작 전,,
Zing,,"기기를 키오스크에 갖다 대면 원하는 데이터를 바로 가져올 수 있는 기술로
  10cm 이내 근접 거리에서 기가급 속도로 데이터 전송이 가능한 초고속 근접무선통신(NFC) 기술은?",2022년 2회 필기,IT 용어,소프트웨어 개발 보안 구축,,시작 전,,
tcp wrapper,,"어떤 외부 컴퓨터가 접속되면 접속 인가 여부를 점검해서 인가된 경우에는
  접속이 허용되고, 그 반대의 경우에는 거부할 수 있는 접근제어 유틸리티는?",2022년 2회 필기,IT 용어,소프트웨어 개발 보안 구축,,시작 전,,
튜플,tuple,"Python 데이터 타입 중 시퀀스(Sequence) 데이터 타입에
  해당하며 다양한 데이터 타입들을 주어진 순서에 따라 저장할 수 있으나 저장된 내용을 변경할 수 없는 것은?",2022년 2회 필기,프로그래밍언어,응용 SW 기초 기술 활용,,시작 전,,
Operation,연산,"데이터 모델의 구성 요소 중 데이터 구조에 따라 개념 세계나 컴퓨터
  세계에서 실제 표현된 값들을 처리하는 작업을 의미하는 것은?",2022년 2회 필기,데이터 모델링,SQL 응용,,시작 전,,
Candidate Key,후보키,키의 종류 중 유일성과 최소성을 만족하는 속성 또는 속성들의 집합은?,2022년 2회 필기,데이터베이스,SQL 응용,,시작 전,,
Partially Committed,,"트랜잭션의 상태 중 트랜잭션의 마지막 연산이 실행된 직후의 상태로, 모든
  연산의 처리는 끝났지만 트랜잭션이 수행한 최종 결과를 데이터베이스에 반영하지 않은 상태는?",2022년 2회 필기,IT 용어,SQL 응용,,시작 전,,
DCL,Data Control Language,"SQL의 기능에 따른 분류 중에서 REVOKE 문과 같이 데이터의 사용
  권한을 관리하는데 사용하는 언어는?",2022년 2회 필기,데이터베이스,SQL 응용,,시작 전,,
Stack,,"순서가 있는 리스트에서 데이터의 삽입(Push), 삭제(Pop)가 한 쪽
  끝에서 일어나며 LIFO(Last in First out)의 특징을 가지는 자료구조는?",2022년 2회 필기,자료구조,데이터 입출력 구현,,시작 전,,
Refactoring,,"소프트웨어를 보다 쉽게 이해할 수 있고 적은 비용으로 수정할 수 있도록
  겉으로 보이는 동작의 변화 없이 내부구조를 변경하는 것은?",2022년 2회 필기,IT 용어,데이터 입출력 구현,,시작 전,,
RCS,Revision Control System,"동시에 소스를 수정하는 것을 방지하며 다른 방향으로 진행된 개발 결과를
  합치거나 변경 내용을 추적할 수 있는 소프트웨어 버전 관리 도구는?",2022년 2회 필기,IT 용어,데이터 입출력 구현,,시작 전,,
